,Belmont Hill,Brooks,Groton,Notre Dame,Taft,Nobles,Brewster Academy,Cambridge RLS,Middletown,Lyme/Old Lyme,Pomfret,St. Mark's,Greenwich Country Day,Berkshire Academy,Hotchkiss,BB&N,NMH,Middlesex,Hopkins
Belmont Hill,,,,,,,,,,,,,,,,,,,
Brooks,,,,,,,,,,,,,,,,,,,
Groton,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,,,,,,,,,,,
Taft,,,7.5,,,,,,,,,,,,,,,,
Nobles,11.54,,0.89,,,,,,,,,,,,,,,,
Brewster Academy,,,,,12.17,,,,,,,,,,1.59,,,,
Cambridge RLS,,7.0,10.16,,,,,,,,,,,,,,,,
Middletown,,,,24.4,,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,5.41,,,,,,15.37,,10.52
Pomfret,,,37.6,,30.63,,,,,,,,,,,,4.88,,
St. Mark's,,34.5,,,,57.9,,,,,,,,,,,,,
Greenwich Country Day,,,,55.7,,,,,31.3,,,,,,7.9,,,,
Berkshire Academy,,,,,42.59,,30.42,,,,14.7,,,,32.01,,,,
Hotchkiss,,,,47.8,35.23,,,,23.4,,4.6,,,,,,9.48,,0.72
BB&N,48.89,,40.0,,,39.11,,5.78,,,,,,,,,,,
NMH,40.6,43.0,,,25.75,,,36.0,,,,,,,,,,,
Middlesex,56.2,53.0,,,,,,46.0,,,,13.5,,,,19.33,10.0,,
Hopkins,100.1,64.0,,,34.51,,,57.0,,,3.88,,,,,,8.76,11.0,
