,Brooks,Derryfield,Nobles,Suffield,Valley Regional,Hotchkiss,Groton,Winsor,NMH,Frederick Gunn,St. Mark's,St. Mary's-Lynn,Middlesex,Berkshire Academy,Middletown,BB&N,Miss Porter's,Greenwich Academy,Cambridge RLS,Thayer,Brewster Academy,Choate,Taft,Newton Country Day,Lyme/Old Lyme,Greenwich Country Day,Hopkins,Worcester Academy,Sacred Heart,Berwick,Canterbury,Pomfret,Dexter-Southfield,Marianapolis Prep
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,4.3,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMH,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick Gunn,,,,,,,,9.7,7.83,,2.2,,,0.75,,5.2,,,,,,,,,,,,,,,,,,
St. Mark's,11.6,,9.2,,,,,7.5,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,11.8,,,,,3.0,,
Middlesex,23.3,,,,,,,,5.5,,5.7,,,,,,,,,,,,,,,,1.3,,,,,,,
Berkshire Academy,,,,,,11.05,,,15.05,,,,,,,,,,,,,5.35,9.6,,,,,,,,,,,
Middletown,,,,,,26.9,,,,,,,,,,,9.3,,,,,,,,6.7,,,,,,,,,
BB&N,,,17.78,,,,14.11,4.5,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,
Miss Porter's,,,,,,,,17.0,,7.3,9.5,,,,,12.5,,,,,,,,,,,,,,,,,,
Greenwich Academy,,,,,,,,23.33,,,,,,11.2,,18.44,,,,,,,,,,,,,,,,,,
Cambridge RLS,24.5,,,,,,11.85,6.46,6.7,,,,1.2,,,1.2,,,,,,,,,,,2.5,,,,,,,
Thayer,,,,,,,,,,,,,,,,61.11,,,,,,,,,,,,,,,,,,
Brewster Academy,,,22.6,,,9.72,,,,5.37,13.4,,,,,,,,,,,8.12,,,,,3.23,,,,,,,
Choate,21.1,,,,,5.7,16.8,9.58,9.7,,,,,,,,,,3.12,,,,4.25,,,,,,,,,,,
Taft,,,,,,1.45,17.8,18.0,5.45,8.3,10.5,,,,,13.5,1.0,,,,,,,,,,,,,,,,,
Newton Country Day,,,34.9,,,,,,,,25.7,,5.0,,,,,,,,12.3,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,8.7,,,,25.0,10.19,,,,23.3,,,,12.1,,,4.82,,20.38,,,,1.9,,,,,,,
Greenwich Country Day,,,,,,45.9,,,,,,,,,13.8,,23.1,28.71,,,,,,,,,,,,,,,,
Hopkins,22.0,,,,,16.0,,,20.0,,,,,21.4,,,,10.2,,,,10.3,14.55,,,,,,,,,,,
Worcester Academy,,31.6,,1.5,,,,,,,,41.6,,,,,,,,,51.5,,,,,,,,1.6,,,,,
Sacred Heart,,29.9,,,,,,,,,,,,,,,,43.71,,,,,,48.21,,15.0,,,,,,,,
Berwick,,52.5,,,,,,,,,,,,,,86.67,,,,,36.4,,,,,,,21.0,22.6,,,,,
Canterbury,,,,,,40.84,,,,28.0,,,,54.0,,,,42.8,,,22.63,39.24,,,30.7,,32.6,,,,,3.1,,
Pomfret,,,,,,37.89,37.9,28.0,17.3,18.3,20.5,,,27.2,,23.5,11.0,,,,19.53,36.29,10.0,,14.71,,31.4,,,,,,,
Dexter-Southfield,95.6,,,,,,45.3,,,,84.0,,78.3,,,,,,,,,,27.5,,,,,,,,,7.4,,
Marianapolis Prep,,,,80.8,,,,,,,,,,106.5,,,,,,,,,,,,,,79.3,,,,79.3,,
