,Brooks,Derryfield,Miss Porter's,Nobles,Valley Regional,Winsor,Groton,Hotchkiss,NMH,St. Mark's,Taft,Frederick Gunn,Choate,St. Mary's-Lynn,Middlesex,Berkshire Academy,Greenwich Academy,Middletown,BB&N,Cambridge RLS,Thayer,Brewster Academy,Newton Country Day,Worcester Academy,Lyme/Old Lyme,Hopkins,Greenwich Country Day,Marianapolis Prep,Canterbury,Berwick,Pomfret,Dexter-Southfield
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Porter's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotchkiss,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
NMH,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mark's,11.6,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,17.8,1.45,5.45,,,,,,,,,,,,,,,,,,,,,,,
Frederick Gunn,,,13.0,,,,,,7.83,,3.21,,,,,0.75,,,,,,,,,,,,,,,,
Choate,,,,,,9.58,,5.7,9.7,,4.25,,,,,,,,,3.12,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,20.3,,,,,,,,,,,,,,,,,11.8,,,,,3.0,
Middlesex,23.3,,,,,,,,5.5,5.7,,,,,,,,,,,,,,,,1.3,,,,,,
Berkshire Academy,,,,,,,,11.05,15.05,,9.6,,5.35,,,,,,,,,,,,,,,,,,,
Greenwich Academy,,,,,,23.33,,,,,,,,,,,,,18.44,,,,,,,,,,,,,
Middletown,,,9.3,,,,,26.9,,,,,,,,,,,,,,,,,6.7,,,,,,,
BB&N,,,,17.78,,4.89,14.11,,,,,,,,6.0,,,,,,,,1.0,,,,,,,,,
Cambridge RLS,24.5,,,,,6.46,11.85,,6.7,,,,,,1.2,,,,1.2,,,,,,,2.5,,,,,,
Thayer,,,,,,,,,,,,,,,,,,,61.11,,,,,,,,,,,,,
Brewster Academy,,,,22.6,,,,9.72,,13.4,,5.37,8.12,,,,,,,,,,,,,3.23,,,,,,
Newton Country Day,,,,34.9,,,,,,25.7,,,,,5.0,,,,,,,12.3,,,,,,,,,,
Worcester Academy,,31.6,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,
Lyme/Old Lyme,,,,,8.7,,,,25.0,,20.38,10.19,,,,17.92,,,,,,4.82,,,,,,,,,,
Hopkins,22.0,,,,,,,16.0,20.0,,14.55,,10.3,,,4.95,,,,,,,,,,,,,,,,
Greenwich Country Day,,,23.1,,,,,45.9,,,,,,,,,28.71,13.8,,,,,,,,,,,,,,
Marianapolis Prep,,,,,,,,,,,,,,,,106.5,,,,,,,,,,,,,,,79.3,
Canterbury,,,,,,,,40.84,,,,28.0,39.24,,,,,,,,,22.63,,,17.81,34.35,,,,,3.1,
Berwick,,52.5,,,,,,,,,,,,,,,,,86.67,,,36.4,,21.0,,,,,,,,
Pomfret,,,,,,,37.9,37.89,17.3,,20.1,24.9,36.29,,,27.2,,,,,,19.53,,,14.71,31.4,,,,,,
Dexter-Southfield,95.6,,,,,,45.3,,,84.0,27.5,,,,78.3,,,,,,,,,,,,,,,,7.4,
