,Belmont Hill,Berkshire Academy,Berwick,Lyme/Old Lyme,Nobles,Middletown,Pingree,Notre Dame,King School,Middlesex,Hopkins,Groton,Cambridge RLS,Brooks,NMH,Pomfret,Taft,St. Mark's,Valley Regional,Derryfield,Suffield,Eagle Hill,BB&N,Frederick Gunn,Thayer,Medford,Choate,BU Academy,St. Mary's-Lynn,Worcester Academy,Brewster Academy,Canterbury,Marianapolis Prep,Bancroft
Belmont Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme/Old Lyme,,1.6,,,,,,1.2,,,,,,,0.77,,,,,,,,,,,,,,,,,,,
Nobles,2.08,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pingree,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
King School,,,,,,,,,,,8.04,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,6.4,4.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,14.4,,,,,,,,,2.6,,,,3.7,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,,,,,,,,9.3,,9.5,,3.7,,,,,,,,,,,,,,,,,,,,
Brooks,10.7,,,,15.0,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
NMH,10.2,4.69,,,7.2,,,,,,0.39,,0.3,4.0,,,,,,,,,,,,,,,,,,,,
Pomfret,15.7,4.9,,,,,,,,,1.98,3.9,,,1.57,,3.5,1.5,,,,,,,,,,,,,,,,
Taft,,11.28,,5.82,,,,,,,6.98,11.1,,,6.59,,,,,,,,,,,,,,,,,,,
St. Mark's,,,,,19.9,,,,,12.3,,,,11.7,7.0,,2.0,,,,,,,,,,,,,,,,,
Valley Regional,,,,39.5,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,4.8,,,
Suffield,,20.01,,15.05,,8.6,,,,,,,,,,11.36,,,,,,,,11.48,,,,,,,,,,
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,7.0,42.5,,,,1.3
BB&N,14.19,,,,7.11,,,,,5.1,,9.44,1.0,,,12.3,15.8,13.8,,,,,,,,,,,,,,,,
Frederick Gunn,,17.74,,12.28,,,,17.0,,,13.44,,,,13.05,,6.46,10.0,,,,,,,,,,,,,,,,
Thayer,,,31.61,,,,,,,,,,45.44,,,,,,,8.7,,,,,,,,,,,10.93,,,
Medford,,,43.18,,,,,,,,,,,,,,,,,,,,,,17.46,,,,1.39,15.5,28.39,,,
Choate,31.7,12.35,,7.39,,,,,,,,17.3,,21.0,,16.22,3.2,,,,4.86,,,3.82,,,,,,,,,,
BU Academy,,,,,,,35.0,,,,,,64.33,,,,,,,,,,,,19.0,,,,,,,,,
St. Mary's-Lynn,,,47.68,,,,,,,,,,,,,,,,23.0,,,,,,16.07,,,,,28.8,27.0,,,
Worcester Academy,,,26.4,,,,,,,,,,,,50.0,,,43.0,,,,,,33.0,,,,,,,,,,
Brewster Academy,,,20.68,,59.8,,,,,,20.07,,,,19.66,16.53,19.23,39.9,,,5.17,,,,,,0.31,,,,,,,
Canterbury,,56.9,,55.3,,,,58.9,,,52.2,,,,,51.91,,,,,40.55,,,42.43,,,35.69,,,,35.38,,,
Marianapolis Prep,,92.7,,,,,54.0,,,,,,,,,87.8,,,,81.2,132.86,23.4,,,,,,,30.4,47.9,,,,10.6
Bancroft,,,107.8,,,,,,,,,,,,109.0,,,102.0,,67.1,,,,92.0,,25.7,,,12.4,81.5,,,,
